Condition,Role,Node,Strength
elicit,baby,S1,4.401
elicit,baby,S10,5.723
elicit,baby,S11,6.212
elicit,baby,S12,6.34
elicit,baby,S13,5.701
elicit,baby,S14,6.092
elicit,baby,S15,5.746
elicit,baby,S16,5.383
elicit,baby,S17,6.218
elicit,baby,S18,6.02
elicit,baby,S2,4.749
elicit,baby,S3,5.733
elicit,baby,S4,5.667
elicit,baby,S5,6.281
elicit,baby,S6,6.068
elicit,baby,S7,5.69
elicit,baby,S8,6.411
elicit,baby,S9,5.775
elicit,parent,S1,5.495
elicit,parent,S10,4.952
elicit,parent,S11,5.584
elicit,parent,S12,6.02
elicit,parent,S13,5.498
elicit,parent,S14,5.844
elicit,parent,S15,5.798
elicit,parent,S16,4.996
elicit,parent,S17,5.788
elicit,parent,S18,5.174
elicit,parent,S2,4.294
elicit,parent,S3,5.09
elicit,parent,S4,4.687
elicit,parent,S5,4.836
elicit,parent,S6,4.735
elicit,parent,S7,4.055
elicit,parent,S8,5.685
elicit,parent,S9,4.37
free,baby,S1,4.836
free,baby,S10,6.276
free,baby,S11,6.054
free,baby,S12,5.889
free,baby,S13,5.908
free,baby,S14,6.233
free,baby,S15,5.669
free,baby,S16,5.227
free,baby,S17,6.007
free,baby,S18,5.468
free,baby,S2,5.21
free,baby,S3,6.015
free,baby,S4,6.126
free,baby,S5,5.977
free,baby,S6,6.339
free,baby,S7,5.84
free,baby,S8,6.527
free,baby,S9,6.672
free,parent,S1,5.067
free,parent,S10,5.81
free,parent,S11,5.375
free,parent,S12,5.829
free,parent,S13,5.728
free,parent,S14,5.84
free,parent,S15,6.119
free,parent,S16,5.459
free,parent,S17,6.01
free,parent,S18,5.627
free,parent,S2,4.478
free,parent,S3,4.857
free,parent,S4,4.784
free,parent,S5,4.187
free,parent,S6,4.752
free,parent,S7,4.835
free,parent,S8,4.967
free,parent,S9,4.127
instruct,baby,S1,4.359
instruct,baby,S10,5.508
instruct,baby,S11,5.591
instruct,baby,S12,6.361
instruct,baby,S13,5.771
instruct,baby,S14,6.154
instruct,baby,S15,6.112
instruct,baby,S16,6.025
instruct,baby,S17,6.409
instruct,baby,S18,5.56
instruct,baby,S2,4.819
instruct,baby,S3,5.884
instruct,baby,S4,6.0
instruct,baby,S5,6.274
instruct,baby,S6,5.442
instruct,baby,S7,5.535
instruct,baby,S8,6.07
instruct,baby,S9,6.271
instruct,parent,S1,4.831
instruct,parent,S10,5.246
instruct,parent,S11,5.262
instruct,parent,S12,5.463
instruct,parent,S13,5.463
instruct,parent,S14,5.508
instruct,parent,S15,5.804
instruct,parent,S16,5.197
instruct,parent,S17,5.467
instruct,parent,S18,5.253
instruct,parent,S2,4.793
instruct,parent,S3,4.559
instruct,parent,S4,4.443
instruct,parent,S5,4.324
instruct,parent,S6,4.758
instruct,parent,S7,4.541
instruct,parent,S8,5.306
instruct,parent,S9,4.316
